date,symbol,action
2026-07-06,360ONE,snapshot_member
2026-07-06,3MINDIA,snapshot_member
2026-07-06,AADHARHFC,snapshot_member
2026-07-06,AARTIIND,snapshot_member
2026-07-06,AAVAS,snapshot_member
2026-07-06,ABBOTINDIA,snapshot_member
2026-07-06,ABCAPITAL,snapshot_member
2026-07-06,ABDL,snapshot_member
2026-07-06,ABFRL,snapshot_member
2026-07-06,ABLBL,snapshot_member
2026-07-06,ABREL,snapshot_member
2026-07-06,ABSLAMC,snapshot_member
2026-07-06,ACC,snapshot_member
2026-07-06,ACE,snapshot_member
2026-07-06,ACMESOLAR,snapshot_member
2026-07-06,ACUTAAS,snapshot_member
2026-07-06,AEGISLOG,snapshot_member
2026-07-06,AEGISVOPAK,snapshot_member
2026-07-06,AFCONS,snapshot_member
2026-07-06,AFFLE,snapshot_member
2026-07-06,AIAENG,snapshot_member
2026-07-06,AIIL,snapshot_member
2026-07-06,AJANTPHARM,snapshot_member
2026-07-06,ALKEM,snapshot_member
2026-07-06,AMBER,snapshot_member
2026-07-06,ANANDRATHI,snapshot_member
2026-07-06,ANANTRAJ,snapshot_member
2026-07-06,ANGELONE,snapshot_member
2026-07-06,ANTHEM,snapshot_member
2026-07-06,ANURAS,snapshot_member
2026-07-06,APARINDS,snapshot_member
2026-07-06,APLAPOLLO,snapshot_member
2026-07-06,APOLLOTYRE,snapshot_member
2026-07-06,APTUS,snapshot_member
2026-07-06,ARE&M,snapshot_member
2026-07-06,ASAHIINDIA,snapshot_member
2026-07-06,ASHOKLEY,snapshot_member
2026-07-06,ASTERDM,snapshot_member
2026-07-06,ASTRAL,snapshot_member
2026-07-06,ATGL,snapshot_member
2026-07-06,ATHERENERG,snapshot_member
2026-07-06,ATUL,snapshot_member
2026-07-06,AUBANK,snapshot_member
2026-07-06,AUROPHARMA,snapshot_member
2026-07-06,AWL,snapshot_member
2026-07-06,BAJAJHFL,snapshot_member
2026-07-06,BALKRISIND,snapshot_member
2026-07-06,BALRAMCHIN,snapshot_member
2026-07-06,BANDHANBNK,snapshot_member
2026-07-06,BANKINDIA,snapshot_member
2026-07-06,BATAINDIA,snapshot_member
2026-07-06,BAYERCROP,snapshot_member
2026-07-06,BBTC,snapshot_member
2026-07-06,BDL,snapshot_member
2026-07-06,BELRISE,snapshot_member
2026-07-06,BEML,snapshot_member
