date,symbol,action
2026-07-13,AARTIDRUGS,snapshot_member
2026-07-13,AARTIPHARM,snapshot_member
2026-07-13,ACI,snapshot_member
2026-07-13,ADVENZYMES,snapshot_member
2026-07-13,AEQUS,snapshot_member
2026-07-13,AETHER,snapshot_member
2026-07-13,AGARWALEYE,snapshot_member
2026-07-13,AGL,snapshot_member
2026-07-13,AHLUCONT,snapshot_member
2026-07-13,AKUMS,snapshot_member
2026-07-13,ALIVUS,snapshot_member
2026-07-13,ALKYLAMINE,snapshot_member
2026-07-13,ALOKINDS,snapshot_member
2026-07-13,ANUP,snapshot_member
2026-07-13,APLLTD,snapshot_member
2026-07-13,APOLLO,snapshot_member
2026-07-13,ARVIND,snapshot_member
2026-07-13,ARVINDFASN,snapshot_member
2026-07-13,ASHAPURMIN,snapshot_member
2026-07-13,ASHOKA,snapshot_member
2026-07-13,ASKAUTOLTD,snapshot_member
2026-07-13,ASTRAMICRO,snapshot_member
2026-07-13,ATLANTAELE,snapshot_member
2026-07-13,AURIONPRO,snapshot_member
2026-07-13,AVALON,snapshot_member
2026-07-13,AVANTIFEED,snapshot_member
2026-07-13,AVL,snapshot_member
2026-07-13,AWFIS,snapshot_member
2026-07-13,AXISCADES,snapshot_member
2026-07-13,AZAD,snapshot_member
2026-07-13,BAJAJELEC,snapshot_member
2026-07-13,BALAMINES,snapshot_member
2026-07-13,BALUFORGE,snapshot_member
2026-07-13,BANCOINDIA,snapshot_member
2026-07-13,BBOX,snapshot_member
2026-07-13,BECTORFOOD,snapshot_member
2026-07-13,BIRLACORPN,snapshot_member
2026-07-13,BLACKBUCK,snapshot_member
2026-07-13,BLUESTONE,snapshot_member
2026-07-13,BORORENEW,snapshot_member
2026-07-13,CAMPUS,snapshot_member
2026-07-13,CAPILLARY,snapshot_member
2026-07-13,CCAVENUE,snapshot_member
2026-07-13,CELLO,snapshot_member
2026-07-13,CENTURYPLY,snapshot_member
2026-07-13,CERA,snapshot_member
2026-07-13,CMSINFO,snapshot_member
2026-07-13,CORONA,snapshot_member
2026-07-13,CRAMC,snapshot_member
2026-07-13,CRIZAC,snapshot_member
2026-07-13,CSBBANK,snapshot_member
2026-07-13,CUPID,snapshot_member
2026-07-13,DATAMATICS,snapshot_member
2026-07-13,DBL,snapshot_member
2026-07-13,DBREALTY,snapshot_member
2026-07-13,DCBBANK,snapshot_member
2026-07-13,DIACABS,snapshot_member
2026-07-13,DYNAMATECH,snapshot_member
2026-07-13,EDELWEISS,snapshot_member
2026-07-13,EIEL,snapshot_member
2026-07-13,ELECTCAST,snapshot_member
2026-07-13,ELLEN,snapshot_member
2026-07-13,EMBDL,snapshot_member
2026-07-13,EMIL,snapshot_member
