universe,isin,symbol,company,entry_date,exit_date,entry_approx,still_member
microcap250,INE767A01016,AARTIDRUGS,Aarti Drugs Ltd.,2024-04-26,,False,True
microcap250,INE0LRU01027,AARTIPHARM,Aarti Pharmalabs Ltd.,2023-10-26,,False,True
microcap250,,ABDL,,2021-05-10,2026-05-12,True,False
microcap250,,ACE,,2021-05-10,2024-04-26,True,False
microcap250,INE128X01021,ACI,Archean Chemical Industries Ltd.,2021-05-10,,True,True
microcap250,,ACLGATI,,2021-05-10,2024-04-26,True,False
microcap250,,ACUTAAS,,2021-05-10,2026-05-12,True,False
microcap250,,ADFFOODS,,2021-05-10,2022-10-25,True,False
microcap250,INE837H01020,ADVENZYMES,Advanced Enzyme Tech Ltd.,2022-10-25,,False,True
microcap250,INE947N01017,AEQUS,Aequs Ltd.,2026-05-12,,False,True
microcap250,INE0BWX01014,AETHER,Aether Industries Ltd.,2021-05-10,,True,True
microcap250,INE943P01029,AGARWALEYE,Dr. Agarwal's Health Care Ltd.,2026-05-12,,False,True
microcap250,,AGCNET,,2021-05-10,2021-10-29,True,False
microcap250,,AGI,,2021-05-10,2026-05-12,True,False
microcap250,,AGL,,2021-05-10,2026-07-22,True,False
microcap250,INE758C01029,AHLUCONT,Ahluwalia Contracts (India) Ltd.,2021-05-10,2021-10-29,True,False
microcap250,INE758C01029,AHLUCONT,Ahluwalia Contracts (India) Ltd.,2022-04-07,2023-04-28,False,False
microcap250,INE758C01029,AHLUCONT,Ahluwalia Contracts (India) Ltd.,2023-10-26,,False,True
microcap250,,AJAXENGG,,2025-10-28,2026-05-12,False,False
microcap250,INE09XN01023,AKUMS,Akums Drugs and Pharmaceuticals Ltd.,2026-05-12,,False,True
microcap250,,AKZOINDIA,,2022-05-31,2025-10-28,False,False
microcap250,,ALEMBICLTD,,2022-04-07,2023-04-28,False,False
microcap250,INE03Q201024,ALIVUS,Alivus Life Sciences Ltd.,2025-10-28,,False,True
microcap250,INE150B01039,ALKYLAMINE,Alkyl Amines Chemicals Ltd.,2026-05-12,,False,True
microcap250,,ALLCARGO,,2021-10-29,2026-05-12,False,False
microcap250,INE270A01029,ALOKINDS,Alok Industries Ltd.,2026-05-12,,False,True
microcap250,,AMRUTANJAN,,2021-05-10,2023-04-28,True,False
microcap250,,ANANDRATHI,,2022-04-07,2024-04-26,False,False
microcap250,,ANDHRAPAP,,2021-05-10,2021-10-29,True,False
microcap250,INE294Z01018,ANUP,The Anup Engineering Ltd.,2021-05-10,,True,True
microcap250,,ANURAS,,2025-10-28,2026-05-12,False,False
microcap250,,APARINDS,,2021-05-10,2023-04-28,True,False
microcap250,,APCOTEXIND,,2021-05-10,2024-04-26,True,False
microcap250,,APEX,,2021-05-10,2021-10-29,True,False
microcap250,INE901L01018,APLLTD,Alembic Pharmaceuticals Ltd.,2026-05-12,,False,True
microcap250,INE713T01028,APOLLO,Apollo Micro Systems Ltd.,2026-05-12,,False,True
microcap250,,APOLLOPIPE,,2022-04-07,2024-04-26,False,False
microcap250,INE034A01011,ARVIND,Arvind Ltd.,2021-05-10,,True,True
microcap250,INE955V01021,ARVINDFASN,Arvind Fashions Ltd.,2021-05-10,,True,True
microcap250,INE348A01023,ASHAPURMIN,Ashapura Minechem Ltd.,2026-05-12,,False,True
microcap250,,ASHIANA,,2021-05-10,2022-10-25,True,False
microcap250,INE442H01029,ASHOKA,Ashoka Buildcon Ltd.,2022-04-07,,False,True
microcap250,,ASIANTILES,,2021-05-10,2021-10-29,True,False
microcap250,INE491J01022,ASKAUTOLTD,ASK Automotive Ltd.,2024-04-26,,False,True
microcap250,,ASTEC,,2021-05-10,2024-04-26,True,False
microcap250,INE386C01029,ASTRAMICRO,Astra Microwave Products Ltd.,2021-05-10,,True,True
microcap250,,ASTRAZEN,,2023-04-28,2024-04-26,False,False
microcap250,,ATFL,,2021-05-10,2022-04-07,True,False
microcap250,INE0Z4F01028,ATLANTAELE,Atlanta Electricals Ltd.,2026-05-12,,False,True
microcap250,INE132H01018,AURIONPRO,Aurionpro Solution Ltd.,2021-05-10,,True,True
microcap250,,AUTOAXLES,,2021-05-10,2024-04-26,True,False
microcap250,INE0LCL01028,AVALON,Avalon Technologies Ltd.,2021-05-10,,True,True
microcap250,INE871C01038,AVANTIFEED,Avanti Feeds Ltd.,2021-05-10,,True,True
microcap250,INE679V01027,AVL,Aditya Vision Ltd.,2021-05-10,2025-10-28,True,False
microcap250,INE679V01027,AVL,Aditya Vision Ltd.,2026-05-12,,False,True
microcap250,INE108V01019,AWFIS,Awfis Space Solutions Ltd.,2021-05-10,,True,True
microcap250,INE555B01013,AXISCADES,AXISCADES Technologies Ltd.,2026-05-12,,False,True
microcap250,INE02IJ01035,AZAD,Azad Engineering Ltd.,2024-04-26,,False,True
microcap250,INE193E01025,BAJAJELEC,Bajaj Electricals Ltd,2025-10-28,,False,True
microcap250,,BAJAJHIND,,2021-05-10,2025-10-28,True,False
